episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
400,1,1,1,1.055,-42.88,0.7565,0.5676,0.4369,0.531,0.7351,0.15
401,1,1,0,0.901,-77.05,0.8721,,,,,0.147
402,0,1,1,0.094,-16.14,0.4495,,,,,0.145
403,0,1,0,0.704,-54.73,0.9146,,,,,0.143
404,0,0,1,0.0,-14.03,0.4149,,,,,0.141
405,1,0,0,0.0,-18.05,0.4374,,,,,0.139
406,0,0,0,0.0,-10.46,0.3625,,,,,0.137
407,1,0,1,0.0,-14.41,0.3533,,,,,0.135
408,1,0,0,0.0,-7.76,0.295,,,,,0.133
409,0,0,1,0.0,-10.84,0.3935,,,,,0.13
410,0,1,1,0.121,-18.65,0.4966,,,,,0.128
411,0,1,0,0.003,-15.36,0.4514,,,,,0.126
412,0,0,0,0.0,-5.76,0.2846,,,,,0.124
413,0,1,0,1.083,-48.04,0.8414,,,,,0.122
414,0,1,0,0.429,-35.79,0.6823,,,,,0.12
415,1,0,0,0.0,-10.02,0.3341,,,,,0.118
416,1,0,1,0.0,-26.08,0.5949,,,,,0.116
417,0,0,0,0.0,-14.94,0.4599,,,,,0.113
418,1,0,0,0.0,-13.33,0.4131,,,,,0.111
419,0,0,0,0.0,-6.81,0.2691,,,,,0.109
420,1,0,1,0.0,-16.74,0.441,,,,,0.107
421,1,1,0,0.071,-11.62,0.389,,,,,0.105
422,1,1,1,0.978,-51.23,0.9369,,,,,0.103
423,1,0,0,0.0,-18.94,0.5131,,,,,0.101
424,1,0,0,0.0,-17.14,0.4912,,,,,0.098
425,1,0,0,0.0,-18.59,0.4928,,,,,0.096
426,0,0,1,0.0,-21.84,0.5041,,,,,0.094
427,0,0,1,0.0,-20.91,0.5252,,,,,0.092
428,1,1,1,0.631,-61.62,0.9037,,,,,0.09
429,0,1,1,1.061,-48.88,0.9351,,,,,0.088
430,1,0,0,0.0,-20.59,0.4251,,,,,0.086
431,0,0,0,0.0,-21.59,0.5216,,,,,0.084
432,1,0,0,0.0,-28.38,0.5649,,,,,0.082
433,0,0,0,0.0,-5.6,0.2876,,,,,0.079
434,0,0,0,0.0,-21.31,0.5043,,,,,0.077
435,1,1,0,0.745,-49.68,0.7332,,,,,0.075
436,0,1,0,0.326,-15.81,0.476,,,,,0.073
437,0,0,0,0.0,-9.18,0.3442,,,,,0.071
438,1,0,0,0.0,-16.21,0.4994,,,,,0.069
439,0,1,0,0.83,-33.34,0.7269,,,,,0.066
440,1,0,0,0.0,-53.03,0.5356,,,,,0.064
441,0,0,1,0.0,-16.1,0.452,,,,,0.062
