episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
434,0,0,0,0.0,-44.9,0.4792,,,,,0.077
435,1,1,0,0.745,-99.99,0.7825,,,,,0.075
436,0,1,0,0.326,-47.72,0.5249,,,,,0.073
437,0,0,0,0.0,-24.61,0.3392,,,,,0.071
438,1,0,0,0.0,-32.11,0.4646,,,,,0.069
439,0,1,0,0.83,-72.81,0.6956,,,,,0.066
440,1,0,0,0.0,-94.12,0.5519,,,,,0.064
441,0,0,1,0.0,-27.9,0.4354,,,,,0.062
442,0,0,1,0.0,-31.35,0.4097,,,,,0.06
443,0,0,0,0.0,-24.28,0.3632,,,,,0.058
444,1,0,0,0.0,-21.21,0.3415,,,,,0.056
445,0,1,1,1.018,-88.25,0.8601,,,,,0.054
446,1,0,0,0.0,-28.08,0.3654,,,,,0.052
447,1,1,0,1.123,-72.47,0.71,,,,,0.05
448,1,0,1,0.0,-35.32,0.4074,,,,,0.05
449,1,1,1,0.442,-84.13,0.7682,,,,,0.05
450,1,1,0,1.04,-115.34,1.0839,0.4872,0.3544,0.4353,0.6718,0.05
451,0,1,1,0.61,-75.27,0.5939,,,,,0.05
